"Diversions originally bound for KABI, KACT, KAUS, KCLL, KDAL, KDFW, KEFD, KELP, KGGG, KGRK, KHOU, KIAH, KLAW, KLBB, KLIT, KOKC, KSAT, KSHV, KSPS, KTUL, KTXK, KTYR"

Sat Nov  9 04:16:01 EST 2019

orldc-dev-fused02:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
UPS9751,1,2019-11-07 22:32:34-05,KATL,KDFW,KMIA,2019-11-08 01:22:31-05,,2019-11-08 01:42:45-05
DAL31,1,2019-11-08 19:33:53-05,KATL,KDFW,EGLL,2019-11-08 19:21:11-05,,2019-11-08 19:33:53-05
GAJ827,2,2019-11-08 13:47:55-05,KAUS,KLIT,KMDD,2019-11-08 15:29:20-05,2019-11-08 17:09:21-05,2019-11-08 17:09:56-05
GAJ831,2,2019-11-07 18:56:08-05,KCLL,KABQ,KMRF,2019-11-07 19:02:06-05,2019-11-08 12:18:02-05,2019-11-08 12:18:30-05
EMD29,2,2019-11-08 15:01:58-05,KCRP,KLBB,KATS,2019-11-08 15:37:20-05,2019-11-08 18:26:50-05,2019-11-08 18:27:03-05
EJA683,1,2019-11-08 11:25:37-05,KDAL,KSNA,KSDL,2019-11-08 11:12:09-05,,2019-11-08 11:25:37-05
AMF1721,1,2019-11-08 20:48:36-05,KDFW,KSPS,KAMA,2019-11-08 21:28:29-05,,2019-11-08 21:40:44-05
MRA643,1,2019-11-08 21:32:34-05,KDFW,KDFW,KBWD,2019-11-08 22:03:27-05,,2019-11-08 22:15:40-05
CPA90,1,2019-11-09 02:11:28-05,KDFW,KLAX,PANC,2019-11-09 02:29:14-05,,2019-11-09 02:58:31-05
RPA3300,1,2019-11-08 21:39:02-05,KEWR,KDFW,KDFW,2019-11-08 21:44:45-05,,2019-11-08 22:07:39-05
LXJ417,0,,KHOU,KHOU,KDAL,,,2019-11-08 19:22:19-05
GTX488,1,2019-11-07 22:27:23-05,KLBB,KADS,KELP,2019-11-08 01:12:03-05,,2019-11-08 01:25:03-05
GTX111,1,2019-11-07 22:19:57-05,KLBB,KEDC,KELP,2019-11-08 01:16:24-05,,2019-11-08 01:29:15-05
AMF1746,1,2019-11-08 09:38:53-05,KLBB,KLBB,KMAF,2019-11-08 09:59:32-05,,2019-11-08 10:11:44-05
EMD29,1,2019-11-08 20:37:11-05,KLBB,KSAT,KSJT,2019-11-08 21:15:47-05,,2019-11-08 21:35:21-05
SWA2605,1,2019-11-08 11:46:55-05,KMSY,KHOU,KATL,2019-11-08 11:53:34-05,,2019-11-08 12:09:24-05
ENY3915,1,2019-11-08 08:06:02-05,KORD,KDFW,KJLN,2019-11-08 08:57:54-05,,2019-11-08 09:21:29-05
EJA775,1,2019-11-08 17:59:55-05,KOSU,KLBB,KDPA,2019-11-08 18:06:44-05,,2019-11-08 18:20:13-05
UPS9303,1,2019-11-09 00:18:57-05,KSDF,KDFW,KDFW,2019-11-09 00:38:13-05,,2019-11-09 00:57:14-05
EMD65,1,2019-11-08 03:36:42-05,KSJT,KELP,KELP,2019-11-08 04:05:25-05,,2019-11-08 04:25:14-05
EJM604,1,2019-11-08 14:33:48-05,KTYR,HRYG,KGYI,2019-11-08 14:21:26-05,,2019-11-08 14:33:48-05
(21 rows)

orldc-prod-fused04:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
EJA683,2,2019-11-08 11:25:34-05,KDAL,KSNA,KSDL,2019-11-08 11:13:01-05,2019-11-08 13:09:39-05,2019-11-08 13:09:41-05
NKS407,1,2019-11-08 15:44:11-05,KDEN,KDFW,KDFW,2019-11-08 15:32:08-05,,2019-11-08 15:44:11-05
ENY3523,2,2019-11-07 23:06:43-05,KDFW,KDFW,KTYR,2019-11-07 23:21:29-05,2019-11-08 08:01:46-05,2019-11-08 08:01:48-05
RPA3300,2,2019-11-08 21:39:04-05,KEWR,KDFW,KDFW,2019-11-08 21:44:45-05,2019-11-08 22:57:08-05,2019-11-08 22:57:10-05
LXJ417,0,2019-11-08 19:02:11-05,KHOU,KHOU,KDAL,,,2019-11-08 19:22:18-05
EJA775,1,2019-11-08 17:59:55-05,KOSU,KLBB,KDPA,2019-11-08 18:06:44-05,,2019-11-08 18:20:16-05
UPS9303,1,2019-11-09 00:56:02-05,KSDF,KDFW,KDFW,2019-11-09 00:43:59-05,,2019-11-09 00:56:02-05
EMD65,1,2019-11-08 03:35:52-05,KSJT,KELP,KELP,2019-11-08 04:05:37-05,,2019-11-08 04:18:05-05
EJM604,1,2019-11-08 14:33:51-05,KTYR,HRYG,KGYI,2019-11-08 14:21:26-05,,2019-11-08 14:33:51-05
(9 rows)

orldc-prod-fused06:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
DAL31,1,2019-11-08 19:33:53-05,KATL,KDFW,EGLL,2019-11-08 19:21:11-05,,2019-11-08 19:33:53-05
EJA683,1,2019-11-08 11:25:37-05,KDAL,KSNA,KSDL,2019-11-08 11:12:09-05,,2019-11-08 11:25:37-05
RPA3300,1,2019-11-08 21:39:01-05,KEWR,KDFW,KDFW,2019-11-08 21:44:45-05,,2019-11-08 22:07:38-05
LXJ417,0,,KHOU,KHOU,KDAL,,,2019-11-08 19:22:17-05
EJA775,1,2019-11-08 17:59:54-05,KOSU,KLBB,KDPA,2019-11-08 18:06:44-05,,2019-11-08 18:20:14-05
UPS9303,1,2019-11-09 00:18:58-05,KSDF,KDFW,KDFW,2019-11-09 00:38:12-05,,2019-11-09 00:57:12-05
EMD65,1,2019-11-08 03:36:41-05,KSJT,KELP,KELP,2019-11-08 04:05:25-05,,2019-11-08 04:17:37-05
EJM604,1,2019-11-08 14:33:50-05,KTYR,HRYG,KGYI,2019-11-08 14:21:26-05,,2019-11-08 14:33:50-05
(8 rows)

Differences between servers

orldc-dev-fused02:
,   orldc-prod-fused04:
,,<  AMF1721
,,<  AMF1746
,,<  CPA90
,,<  DAL31
,,<  EMD29
,,<  EMD29
,,<  ENY3915
,,<  GAJ827
,,<  GAJ831
,,<  GTX111
,,<  GTX488
,,>  ENY3523
,,<  MRA643
,,>  NKS407
,,<  SWA2605
,,<  UPS9751
,   orldc-prod-fused06:
,,<  AMF1721
,,<  AMF1746
,,<  CPA90
,,<  EMD29
,,<  EMD29
,,<  ENY3915
,,<  GAJ827
,,<  GAJ831
,,<  GTX111
,,<  GTX488
,,<  MRA643
,,<  SWA2605
,,<  UPS9751

orldc-prod-fused04:
,   orldc-dev-fused02:
,,>  AMF1721
,,>  AMF1746
,,>  CPA90
,,>  DAL31
,,>  EMD29
,,>  EMD29
,,<  ENY3523
,,>  ENY3915
,,>  GAJ827
,,>  GAJ831
,,>  GTX111
,,>  GTX488
,,<  NKS407
,,>  MRA643
,,>  SWA2605
,,>  UPS9751
,   orldc-prod-fused06:
,,>  DAL31
,,<  ENY3523
,,<  NKS407

orldc-prod-fused06:
,   orldc-dev-fused02:
,,>  AMF1721
,,>  AMF1746
,,>  CPA90
,,>  EMD29
,,>  EMD29
,,>  ENY3915
,,>  GAJ827
,,>  GAJ831
,,>  GTX111
,,>  GTX488
,,>  MRA643
,,>  SWA2605
,,>  UPS9751
,   orldc-prod-fused04:
,,<  DAL31
,,>  ENY3523
,,>  NKS407


Common diversions,Flightid
,EJA683
,EJA775
,EJM604
,EMD65
,LXJ417
,RPA3300
,UPS9303

Uncommon diversions,Flightid
,AMF1721
,AMF1746
,CPA90
,DAL31
,EMD29
,ENY3523
,ENY3915
,GAJ827
,GAJ831
,GTX111
,GTX488
,MRA643
,NKS407
,SWA2605
,UPS9751

Sat Nov  9 04:16:04 EST 2019
